Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ALDOA		8	8	1116	0.7%	No
CCDC39		12	9	1192	0.8%	No
FSTL5		18	15	1511	1.0%	No
PDZD9		3	3	165	1.8%	No
KLK15		5	4	629	0.6%	No
ITGA8		9	9	1519	0.6%	No
C2CD5		15	14	1581	0.9%	No
IKBKG		1	1	100	1.0%	No
MFAP3L		8	8	902	0.9%	No
ALDOB		5	5	1035	0.5%	No
HAUS7		4	4	528	0.8%	No
KCNAB2		1	1	216	0.5%	No
ITGA10		18	16	1619	1.0%	No
GAB2		5	5	874	0.6%	Yes
PLXNA3		16	16	1581	1.0%	No
DNAAF3		6	6	1035	0.6%	No
TM9SF3		4	4	903	0.4%	No
C11ORF86		4	4	731	0.5%	No
ELP1		18	15	1395	1.1%	No
IFITM1		1	1	507	0.2%	No
PSMD6		5	5	1116	0.4%	No
RAB37		8	8	1216	0.7%	No
MED24		17	12	1280	0.9%	No
YBX3		3	3	312	1.0%	No
TRH		2	2	361	0.6%	No
LRIG2		6	6	1332	0.5%	No
MMAB		3	3	179	1.7%	No
CHST1		6	6	1078	0.6%	No
TRIM66		8	5	729	0.7%	No
CBX4		5	5	868	0.6%	No
TRHR		4	4	312	1.3%	No
TRIO		28	27	1611	1.7%	No
CPZ		9	8	686	1.2%	No
MAGI2		14	12	1035	1.2%	No
CCT3		6	6	1215	0.5%	No
COPS3		6	6	797	0.8%	No
ALDOC		4	4	426	0.9%	No
AKR1B1		3	3	877	0.3%	No
ALK		56	55	2778	2.0%	Yes
ALOX12		7	6	1048	0.6%	No
DGKD		7	7	1454	0.5%	No
PPP1R26		13	12	1213	1.0%	No
CEP170		27	26	1459	1.8%	No
DDO		1	1	122	0.8%	No
KIAA0319		10	10	1374	0.7%	No
DGKZ		7	7	634	1.1%	No
DGKE		4	4	926	0.4%	No
CEP350		37	34	1584	2.1%	No
CYP4F2		4	4	845	0.5%	No
PPFIA3		10	10	1077	0.9%	No
FCHSD2		4	4	645	0.6%	No
APOL1		2	2	629	0.3%	No
AREL1		8	7	731	1.0%	No
SEC24D		9	9	975	0.9%	No
AGPS		2	2	723	0.3%	No
AP3B1		18	17	1576	1.1%	No
ZC3H11A		9	9	1454	0.6%	No
LMO4		6	6	1432	0.4%	No
TLK1		5	5	825	0.6%	No
PIR		7	7	1215	0.6%	No
URB1		17	17	1611	1.1%	No
ALOX5		7	7	1454	0.5%	No
ALOX5AP		1	1	239	0.4%	No
ALOX12B		11	11	1677	0.7%	Yes
ALOX15		5	5	1019	0.5%	No
ALOX15B		2	2	302	0.7%	No
ALPI		2	2	507	0.4%	No
ALPL		6	6	975	0.6%	No
SETDB1		23	23	1848	1.2%	Yes
BARX2		2	2	507	0.4%	No
TRIP6		6	6	1280	0.5%	No
API5		6	6	1274	0.5%	No
PJA2		8	8	1238	0.6%	No
CAMK1		5	5	970	0.5%	No
BCAS1		17	14	1481	0.9%	No
TOMM70		2	2	122	1.6%	No
POM121		11	11	1554	0.7%	No
TRPC1		10	9	1035	0.9%	No
BHLHE40		2	2	629	0.3%	No
LRRC37A		1	1	507	0.2%	No
TRPC3		15	15	1619	0.9%	No
TRANK1		23	22	1554	1.4%	No
TBC1D4		18	18	1519	1.2%	No
TRPC5		16	15	1619	0.9%	No
CDC14A		4	4	618	0.6%	No
SMG7		10	10	1215	0.8%	No
TRPC4		12	12	1554	0.8%	No
TCAP		2	2	243	0.8%	No
TRPM2		16	15	1454	1.0%	No
PIAS1		7	4	559	0.7%	No
OSBPL2		2	2	537	0.4%	No
TRPC6		14	12	1429	0.8%	No
CDC14B		1	1	190	0.5%	No
RHOBTB1		1	1	122	0.8%	No
ZBTB39		9	9	1272	0.7%	No
ALPP		8	8	1274	0.6%	No
ALPG		9	9	1274	0.7%	No
EBLN1		3	3	629	0.5%	No
SMCO1		2	2	537	0.4%	No
AMBN		10	9	1216	0.7%	No
AMBP		3	3	629	0.5%	No
LGR5		12	12	1454	0.8%	Yes
TRO		25	19	1554	1.2%	No
TOX4		8	8	1058	0.8%	No
DDX46		11	10	1554	0.6%	No
BLZF1		6	6	925	0.6%	No
THOC5		4	4	919	0.4%	No
TELO2		1	1	100	1.0%	No
KMO		17	17	1676	1.0%	No
TECPR2		6	6	1084	0.6%	No
SNAP91		16	14	1554	0.9%	No
MADD		30	30	1676	1.8%	No
UBAP2L		16	13	1437	0.9%	No
SV2B		4	4	1035	0.4%	No
RRP1		3	3	629	0.5%	No
YARS1		5	4	609	0.7%	No
FIG4		2	2	723	0.3%	No
WASHC5		12	12	799	1.5%	No
PDXK		5	5	338	1.5%	No
EPHX4		2	2	312	0.6%	No
PLPPR4		5	4	518	0.8%	No
NUAK1		10	10	1295	0.8%	No
DEGS1		4	4	962	0.4%	No
AMD1		4	4	919	0.4%	No
AMELX		4	4	1152	0.3%	No
AMFR		3	3	338	0.9%	No
AMH		5	5	541	0.9%	No
PRR14L		14	14	1611	0.9%	No
AMHR2		7	6	1184	0.5%	No
PRSS42P		3	3	629	0.5%	No
TRPS1		21	19	1454	1.3%	No
ZBED4		14	14	1554	0.9%	No
CDK10		3	3	461	0.7%	No
PRPF18		3	3	609	0.5%	No
PRKRA		2	2	723	0.3%	No
PDLIM4		6	6	1332	0.5%	No
CASK		14	13	1454	0.9%	No
SCARF1		6	5	845	0.6%	No
TSC1		24	24	2394	1.0%	Yes
TSN		6	6	947	0.6%	No
TMEFF1		2	2	290	0.7%	No
AMPD1		14	14	1554	0.9%	No
AMPD2		2	2	361	0.6%	No
KHSRP		4	4	868	0.5%	No
AMPD3		9	9	882	1.0%	No
AMPH		11	10	1359	0.7%	No
BIN1		7	6	659	0.9%	No
CEP20		1	1	239	0.4%	No
AMT		4	4	564	0.7%	No
AMY1A		1	1	216	0.5%	No
AMY2A		3	3	936	0.3%	No
MKNK1		5	5	731	0.7%	Yes
TSHR		23	23	2272	1.0%	Yes
TSHB		1	1	65	1.5%	No
TSNAX		3	3	338	0.9%	No
TSPYL1		7	7	1332	0.5%	No
AMY2B		6	6	640	0.9%	No
LY6D		3	3	247	1.2%	No
ANG		1	1	122	0.8%	No
ANGPT1		10	10	1084	0.9%	No
TSG101		5	5	1058	0.5%	No
ANGPT2		2	2	607	0.3%	No
ANK1		29	27	1676	1.6%	No
ANK2		47	30	1554	1.9%	No
ANK3		42	36	1576	2.3%	No
TSC2		43	41	2364	1.7%	Yes
NTAN1		2	2	629	0.3%	No
GFUS		4	4	629	0.6%	No
TST		1	1	507	0.2%	No
DNAJC7		4	4	551	0.7%	No
TTC1		2	2	316	0.6%	No
TTC4		13	11	1268	0.9%	No
TTC3		16	16	1549	1.0%	No
ANPEP		10	10	1454	0.7%	No
SLC25A4		1	1	507	0.2%	No
SLC25A5		1	1	180	0.6%	No
EIPR1		3	3	797	0.4%	No
SLC25A6		1	1	122	0.8%	No
OR6A2		14	12	1296	0.9%	No
PHLDA2		1	1	216	0.5%	No
TUB		4	4	962	0.4%	No
TTPA		2	2	607	0.3%	No
TUBA4A		5	5	686	0.7%	No
TUBA3C		13	13	1554	0.8%	No
TTF1		4	3	423	0.7%	No
SERHL2		2	2	304	0.7%	No
TTN		475	306	1676	18.3%	No
FOXO6		4	4	338	1.2%	No
TTK		5	5	913	0.5%	No
TUFT1		6	5	845	0.6%	No
TULP2		2	2	246	0.8%	No
TULP1		9	9	1454	0.6%	No
L3MBTL4		15	15	1584	0.9%	No
TULP3		7	7	902	0.8%	No
UBLCP1		5	5	1142	0.4%	No
SLC25A46		1	1	216	0.5%	No
TUBB2A		1	1	507	0.2%	No
GJB7		3	3	273	1.1%	No
TUFM		2	2	507	0.4%	No
TUBG1		3	3	179	1.7%	No
C14ORF28		1	1	216	0.5%	No
TYK2		18	17	1141	1.5%	Yes
TXNRD1		5	4	436	0.9%	No
TYR		8	8	902	0.9%	No
ACOT12		3	2	338	0.6%	No
TWIST1		5	5	825	0.6%	No
CHURC1-FNTB		1	1	180	0.6%	No
HIRA		12	12	1373	0.9%	Yes
TNFRSF4		3	2	338	0.6%	No
ZNF682		1	1	180	0.6%	No
TNFSF4		3	3	602	0.5%	No
RAB4B-EGLN2		1	1	216	0.5%	No
TXN		2	2	746	0.3%	No
TXK		5	5	1099	0.5%	No
ZNF563		3	3	868	0.3%	No
IGFN1		20	20	1199	1.7%	No
CBLL2		8	8	1454	0.6%	No
RPS10-NUDT3		1	1	507	0.2%	No
LDHAL6B		4	4	395	1.0%	No
TIGD7		3	3	506	0.6%	No
BBIP1		1	1	216	0.5%	No
SPC24		6	4	825	0.5%	No
IFI27L1		2	2	338	0.6%	No
SOWAHA		1	1	122	0.8%	No
TMEM67		13	12	1619	0.7%	No
ZNF816-ZNF321P		1	1	216	0.5%	No
SHROOM1		8	8	947	0.8%	No
NOMO3		2	2	697	0.3%	No
GPR153		5	5	1116	0.4%	No
ZNF559-ZNF177		3	3	577	0.5%	No
TMEM256-PLSCR3		1	1	507	0.2%	No
THEGL		1	1	216	0.5%	No
LRIG3		9	9	1274	0.7%	Yes
PEDS1		4	4	629	0.6%	No
PEDS1-UBE2V1		1	1	190	0.5%	No
TRAPPC6B		4	4	731	0.5%	No
SDR9C7		3	3	913	0.3%	No
ACSM2A		3	2	338	0.6%	No
LRRC75B		2	2	216	0.9%	No
DNAAF1		12	10	1374	0.7%	No
ZNF784		1	1	122	0.8%	No
DCUN1D3		2	2	100	2.0%	No
ZNF524		1	1	122	0.8%	No
VWC2		4	4	338	1.2%	No
SLC25A35		5	5	974	0.5%	No
NUP210L		35	33	1646	2.0%	No
C16ORF95		2	2	419	0.5%	No
CCDC63		12	12	1454	0.8%	No
MRPL11		1	1	507	0.2%	No
GCNA		4	4	850	0.5%	No
MYO18A		17	16	1484	1.1%	Yes
MRPL9		2	2	266	0.8%	No
MRPL1		1	1	507	0.2%	No
ANKDD1A		3	3	210	1.4%	No
PPTC7		3	3	635	0.5%	No
NDRG4		2	2	723	0.3%	No
SCYL2		11	10	1454	0.7%	No
RUFY2		3	3	273	1.1%	No
USB1		1	1	122	0.8%	No
TMEM204		2	2	723	0.3%	No
RHBDF2		11	11	1454	0.8%	No
TMED6		4	4	945	0.4%	No
RABL6		2	2	220	0.9%	No
HECTD3		4	4	919	0.4%	No
KANSL3		5	5	572	0.9%	No
YEATS2		23	23	1511	1.5%	No
BEND5		3	3	819	0.4%	No
ARHGAP10		4	4	825	0.5%	No
TRMU		2	2	130	1.5%	No
GPR15LG		2	2	57	3.5%	No
RPAP3		3	3	723	0.4%	No
MREG		2	2	507	0.4%	No
DYNC2H1		32	32	1611	2.0%	No
TMEM179B		4	4	825	0.5%	No
FAM111B		6	6	1332	0.5%	No
SHC4		4	4	845	0.5%	No
SLC26A6		5	5	1035	0.5%	No
GALNT18		2	2	338	0.6%	No
SLC26A10P		1	1	100	1.0%	No
TIFA		4	4	564	0.7%	No
AK7		4	4	729	0.5%	No
PINK1		4	4	868	0.5%	No
SH2D4B		6	6	875	0.7%	No
LUC7L		2	2	316	0.6%	No
FRMD4A		12	12	1238	1.0%	No
CYTL1		2	2	281	0.7%	No
PACS1		8	8	1454	0.6%	No
RBM22		2	2	316	0.6%	No
ROGDI		2	2	723	0.3%	No
NSUN5		2	2	746	0.3%	No
C22ORF46P		5	4	1035	0.4%	No
HAO1		7	6	1035	0.6%	No
KDM4D		1	1	507	0.2%	No
IARS2		9	9	1135	0.8%	No
SRD5A3		2	2	122	1.6%	No
TMC4		6	6	1048	0.6%	No
AKIRIN1		3	3	296	1.0%	No
RADIL		5	4	686	0.6%	No
VAC14		9	9	1062	0.8%	No
PANK3		2	2	312	0.6%	No
NCR3LG1		4	4	635	0.6%	No
MAP7D3		4	4	1035	0.4%	No
MCPH1		10	8	1209	0.7%	No
TIMM50		1	1	507	0.2%	No
NUDCD2		5	5	1332	0.4%	No
ACTR8		7	7	947	0.7%	No
EEIG1		6	6	1084	0.6%	No
ATP5IF1		1	1	507	0.2%	No
TMED7-TICAM2		1	1	190	0.5%	No
TUT7		22	17	1519	1.1%	No
FN3KRP		7	6	1158	0.5%	No
NLRX1		7	7	852	0.8%	No
VEPH1		8	7	642	1.1%	No
ZNF329		3	3	564	0.5%	No
OGFOD2		3	3	845	0.4%	No
FASTKD1		8	8	1019	0.8%	No
SMC6		12	11	1158	0.9%	No
VTCN1		7	7	1235	0.6%	Yes
PRUNE2		42	29	1611	1.8%	No
HEATR4		11	10	1338	0.7%	No
CCDC60		3	3	877	0.3%	No
TMEM259		1	1	239	0.4%	No
OR10P1		2	2	122	1.6%	No
NEIL1		5	5	729	0.7%	No
PPP1R3B		5	5	1332	0.4%	No
HSPBAP1		5	5	827	0.6%	No
TERF2IP		6	6	1238	0.5%	No
DHX40		4	4	767	0.5%	No
ICE2		2	2	629	0.3%	No
PLEKHF2		2	2	607	0.3%	No
C3ORF52		5	5	999	0.5%	No
PARP8		9	9	1264	0.7%	No
CLYBL		3	3	607	0.5%	No
OR2AP1		1	1	30	3.3%	No
SHOC1		16	13	1584	0.8%	No
MGME1		3	3	723	0.4%	No
KIAA1958		4	4	629	0.6%	No
GAL3ST4		4	4	731	0.5%	No
ZNF322		2	2	216	0.9%	No
QTRT2		4	4	518	0.8%	No
MANEA		2	2	280	0.7%	No
YRDC		2	2	122	1.6%	No
ZC2HC1C		2	2	723	0.3%	No
GALNT12		6	6	460	1.3%	No
HIPK4		1	1	507	0.2%	No
SENP5		5	5	1065	0.5%	No
ZNF560		12	12	1496	0.8%	No
ZYG11B		4	4	396	1.0%	No
TMEM190		2	2	239	0.8%	No
SLFN12L		12	12	1554	0.8%	No
SLC5A8		6	5	808	0.6%	No
REEP1		3	3	845	0.4%	No
ACD		1	1	216	0.5%	No
GPBP1		4	4	285	1.4%	No
RAPH1		6	6	1071	0.6%	No
FOXP2		5	5	942	0.5%	No
ZDHHC14		2	2	122	1.6%	No
CENPU		1	1	216	0.5%	No
MSANTD2		2	2	338	0.6%	No
STEAP4		2	2	222	0.9%	No
CPA5		3	3	438	0.7%	No
ENPP6		3	3	819	0.4%	No
CLEC6A		1	1	507	0.2%	No
NBEAL1		16	16	1200	1.3%	No
LRP5L		2	2	507	0.4%	No
FAM114A1		6	6	1116	0.5%	No
UBE3D		9	9	1142	0.8%	No
TSTD2		4	4	639	0.6%	No
FNDC9		1	1	30	3.3%	No
DDX60L		7	7	823	0.9%	No
ZNF597		3	3	936	0.3%	No
IL34		2	2	723	0.3%	No
BICDL2		5	5	629	0.8%	No
SYT8		2	2	507	0.4%	No
ZNF782		5	5	1035	0.5%	No
TMEM237		2	2	338	0.6%	No
CDK15		3	3	629	0.5%	No
CASP12		2	2	316	0.6%	No
KIR3DX1		3	3	391	0.8%	No
DTD1		4	4	659	0.6%	No
RTN4R		2	2	629	0.3%	No
MIDN		4	4	577	0.7%	No
C19ORF38		1	1	122	0.8%	No
TMEM255B		3	3	629	0.5%	No
ANKRD13D		4	4	868	0.5%	No
ANKRD42		5	5	1332	0.4%	No
DUS3L		10	10	1264	0.8%	No
DDX60		14	13	1431	0.9%	No
ITLN1		2	2	629	0.3%	No
KIF21A		9	9	1012	0.9%	No
FAM24B		1	1	239	0.4%	No
PMEPA1		6	5	845	0.6%	No
BMAL2		4	4	651	0.6%	No
CARMIL1		10	8	1058	0.8%	No
TENT5A		4	4	913	0.4%	No
CDKN2AIP		2	2	507	0.4%	No
ZNF280C		11	9	1332	0.7%	No
ANKRD10		2	2	746	0.3%	No
CA10		3	2	312	0.6%	No
PPP1R9A		13	13	1454	0.9%	No
MEIOB		4	4	476	0.8%	No
RABGAP1L		10	9	1235	0.7%	No
HMCES		1	1	100	1.0%	No
G3BP2		10	10	1268	0.8%	No
DENND4B		23	19	788	2.4%	No
ENY2		1	1	122	0.8%	No
FERMT1		6	6	754	0.8%	No
OTUB1		1	1	216	0.5%	No
VPS50		9	9	1432	0.6%	No
LPCAT4		4	4	909	0.4%	No
ASAP3		9	9	1104	0.8%	No
MRC2		11	11	1274	0.9%	No
SDR39U1		4	4	868	0.5%	No
FAM9A		3	3	338	0.9%	No
KLHL21		7	7	1454	0.5%	No
XAB2		9	9	947	1.0%	No
PRR5		2	2	629	0.3%	No
SV2A		10	10	1454	0.7%	No
KIF16B		22	19	1454	1.3%	No
SRGAP3		9	9	1173	0.8%	No
MTMR8		6	6	1142	0.5%	No
OTOG		25	16	1554	1.0%	No
OLFML3		5	5	1142	0.4%	No
SLC35E2A		1	1	122	0.8%	No
DOCK10		19	18	1611	1.1%	No
AP5Z1		4	4	528	0.8%	No
MRPS22		3	3	697	0.4%	No
EMSY		23	22	1619	1.4%	Yes
FAM9C		6	5	731	0.7%	No
RBM19		11	11	1158	0.9%	No
SGSM2		9	9	1454	0.6%	No
TASP1		6	6	977	0.6%	No
MFF		8	8	1303	0.6%	No
FAM9B		4	3	845	0.4%	No
KBTBD11		1	1	216	0.5%	No
RNF10		9	7	913	0.8%	No
OR5F1		2	2	370	0.5%	No
OR5AP2		5	5	438	1.1%	No
C5ORF15		2	2	190	1.1%	No
PRTFDC1		1	1	100	1.0%	No
SEC16A		13	13	1421	0.9%	No
NIT2		1	1	65	1.5%	No
THUMPD1		1	1	100	1.0%	No
TTC27		8	8	1554	0.5%	No
TRMT1		11	11	1238	0.9%	No
STAP2		7	7	825	0.8%	No
SMYD2		2	2	246	0.8%	No
SUPT7L		6	6	947	0.6%	No
SMPD4		7	6	758	0.8%	No
OR52B6		4	4	1048	0.4%	No
ATP2C2		10	10	1519	0.7%	No
AMBRA1		18	15	1454	1.0%	No
TMCC2		3	3	564	0.5%	No
ZDHHC7		3	3	247	1.2%	No
ARHGAP44		7	6	757	0.8%	No
POMGNT1		8	8	1112	0.7%	No
MEPE		4	4	577	0.7%	No
FAM20B		1	1	190	0.5%	No
NCAPD2		7	7	1338	0.5%	No
LHX9		9	9	1321	0.7%	No
ARNT2		4	3	492	0.6%	No
OTUD7B		6	6	1084	0.6%	No
ZNF407		10	10	1141	0.9%	No
HELZ		16	15	1619	0.9%	No
RGS20		2	2	507	0.4%	No
TMEM225		5	4	731	0.5%	No
OR8D4		8	8	1454	0.6%	No
CENATAC		4	4	926	0.4%	No
SLC39A4		5	5	629	0.8%	No
RGMA		3	3	645	0.5%	No
WDR93		8	8	1554	0.5%	No
PARP6		7	7	1116	0.6%	No
ANXA1		15	15	1004	1.5%	No
KRBOX4		1	1	5	20.0%	No
ANXA2		1	1	216	0.5%	No
TBC1D22B		3	3	507	0.6%	No
G2E3		7	7	882	0.8%	No
LRRC40		7	6	1100	0.5%	No
SHD		10	10	629	1.6%	No
PAN2		12	12	1554	0.8%	No
SYBU		9	8	1035	0.8%	No
ANXA3		6	6	1216	0.5%	No
ZBTB5		11	11	1338	0.8%	No
CHD7		27	26	1619	1.6%	No
IQSEC1		7	7	1035	0.7%	No
ANXA4		1	1	507	0.2%	No
ZBTB40		12	11	1116	1.0%	No
DEPDC1		17	16	1338	1.2%	No
ANXA5		2	2	339	0.6%	No
KIF14		16	14	1554	0.9%	No
ANXA6		4	4	962	0.4%	No
C14ORF132		1	1	122	0.8%	No
LPGAT1		4	4	697	0.6%	No
MFN2		2	2	746	0.3%	No
PLPP1		4	4	709	0.6%	No
XYLB		5	5	639	0.8%	No
OXSR1		4	4	641	0.6%	No
PLPP2		3	3	607	0.5%	No
DLEC1		15	14	1372	1.0%	No
EXOG		3	3	528	0.6%	No
ABHD17A		6	5	744	0.7%	No
B3GLCT		4	4	557	0.7%	No
CABLES2		3	3	312	1.0%	No
NAT8L		6	6	947	0.6%	No
SEH1L		3	3	962	0.3%	No
LRRC66		13	11	738	1.5%	No
KIF18A		14	14	1432	1.0%	No
FLVCR2		2	2	406	0.5%	No
ANXA7		4	3	506	0.6%	No
FAM20C		5	5	1040	0.5%	No
ZNF93		6	6	898	0.7%	No
ANXA11		2	2	723	0.3%	No
HDHD3		2	2	122	1.6%	No
ANXA13		4	4	797	0.5%	No
NAA16		4	4	506	0.8%	No
OSGEP		2	2	302	0.7%	No
ACSS3		15	13	1584	0.8%	No
AOAH		3	3	412	0.7%	No
ATXN7L3		1	1	190	0.5%	No
AOC2		5	5	909	0.6%	No
CEACAM19		7	7	731	1.0%	No
BTBD2		2	2	122	1.6%	No
SPANXN5		3	3	750	0.4%	No
TANGO6		9	9	1035	0.9%	No
SLC25A12		7	7	825	0.8%	No
AOX1		11	11	1279	0.9%	No
CCNJL		2	2	57	3.5%	No
MAFB		1	1	190	0.5%	Yes
APAF1		13	13	1454	0.9%	No
PLA2G4C		2	2	222	0.9%	No
CD302		2	2	406	0.5%	No
NOP14		12	12	1489	0.8%	No
PUM3		9	9	1047	0.9%	No
NUDT2		1	1	216	0.5%	No
HMBOX1		2	2	723	0.3%	No
RAB20		1	1	507	0.2%	No
FAM193A		19	17	1338	1.3%	No
APOF		8	7	1301	0.5%	No
LYAR		1	1	190	0.5%	No
STOX2		9	9	1338	0.7%	No
RBM8A		4	4	845	0.5%	No
RDH16		1	1	507	0.2%	No
KLF7		7	7	1116	0.6%	No
PRDM8		10	10	884	1.1%	No
DCLRE1A		8	8	808	1.0%	No
PRDM9		11	11	808	1.4%	No
ARHGAP25		9	9	1454	0.6%	No
RUVBL1		4	4	723	0.6%	No
GOLGA5		7	7	1062	0.7%	Yes
PDE8B		3	3	216	1.4%	No
ASMTL		6	6	1238	0.5%	Yes
HS3ST4		1	1	122	0.8%	No
CDK13		7	7	1274	0.5%	No
TRIML1		4	4	506	0.8%	No
LUZP2		3	3	723	0.4%	No
PSMG2		4	4	1058	0.4%	No
APBA1		12	8	1084	0.7%	No
NHP2		3	3	936	0.3%	No
TMPRSS11A		4	4	686	0.6%	No
ADPRM		1	1	507	0.2%	No
APBA2		12	12	1554	0.8%	No
PIGV		3	3	586	0.5%	No
DTWD1		3	3	962	0.3%	No
BBX		11	9	1432	0.6%	No
APBB1		7	7	772	0.9%	No
INTS8		11	11	1303	0.8%	No
PRDM10		10	7	984	0.7%	No
APBB2		2	2	697	0.3%	No
APC		63	47	2748	1.7%	Yes
NLRP2		11	11	1454	0.8%	No
PRDM11		2	2	396	0.5%	No
TCTN1		6	6	1374	0.4%	No
FBXO47		6	6	438	1.4%	No
APCS		2	2	361	0.6%	No
CERS4		4	4	913	0.4%	No
TMEM127		1	1	507	0.2%	Yes
ADIPOR2		5	5	666	0.8%	No
AIRE		2	2	304	0.7%	No
BCAS4		1	1	122	0.8%	No
GPR85		3	3	809	0.4%	No
PGBD5		6	6	1116	0.5%	Yes
APEH		6	5	767	0.7%	No
USO1		6	6	558	1.1%	No
CRYZL1		2	2	723	0.3%	No
APEX1		10	10	1389	0.7%	No
MAGEC1		18	17	1554	1.1%	No
GPR173		5	5	947	0.5%	No
ZNF416		2	2	746	0.3%	No
BIRC2		2	2	316	0.6%	No
PLPP3		3	3	406	0.7%	No
FAM118B		4	4	788	0.5%	No
RNF126		2	2	122	1.6%	No
ZNF692		12	12	1295	0.9%	No
GFPT2		6	5	868	0.6%	No
STC2		3	3	528	0.6%	No
RIC3		6	6	1332	0.5%	No
WDR1		3	3	273	1.1%	No
CADPS		17	17	1554	1.1%	No
AMMECR1		3	3	819	0.4%	No
USP3		2	2	149	1.3%	No
MVP		5	5	1152	0.4%	No
TYRO3		9	9	1295	0.7%	Yes
UNC5C		12	12	1374	0.9%	No
FGF19		3	3	826	0.4%	Yes
RTCA		5	5	598	0.8%	No
SLC23A2		6	6	947	0.6%	No
SKAP1		7	7	780	0.9%	No
DNAH17		44	36	1584	2.3%	No
SLC23A1		4	4	845	0.5%	No
SNX31		5	5	845	0.6%	No
CCDC158		9	9	1125	0.8%	No
DNM1P33		2	2	507	0.4%	No
BIRC3		8	8	1467	0.5%	Yes
TULP4		10	9	1215	0.7%	No
BCL6B		9	8	1332	0.6%	No
GDAP1		4	4	868	0.5%	No
ZNF446		2	2	338	0.6%	No
C1ORF54		1	1	507	0.2%	No
HIF1AN		5	5	1238	0.4%	No
XIAP		9	9	1534	0.6%	Yes
SLC12A9		6	5	1152	0.4%	No
GNG2		1	1	190	0.5%	No
BIRC5		1	1	180	0.6%	No
COQ8A		9	9	1004	0.9%	No
FAM184A		9	8	1089	0.7%	No
DDX27		5	5	1035	0.5%	No
APLP1		7	7	939	0.7%	No
PRPF40A		6	5	731	0.7%	No
EFL1		7	6	1025	0.6%	No
CTNNBIP1		1	1	216	0.5%	No
APLP2		10	9	1484	0.6%	No
DENND4C		10	10	1264	0.8%	No
SCRN3		2	2	338	0.6%	No
KIF15		16	16	1584	1.0%	No
FAT4		46	38	1619	2.3%	Yes
APOA1		2	2	312	0.6%	No
TOMM22		2	2	746	0.3%	No
APOA2		1	1	216	0.5%	No
URGCP		3	3	723	0.4%	No
CHPT1		8	8	1332	0.6%	No
CCDC121		3	3	846	0.4%	No
CDC37L1		4	4	936	0.4%	No
APOA4		2	2	338	0.6%	No
APOB		71	57	1676	3.4%	No
TP63		15	14	1433	1.0%	Yes
HS3ST1		4	4	338	1.2%	No
USP15		11	11	1332	0.8%	No
ARMC7		6	6	1332	0.5%	No
APOBEC1		1	1	507	0.2%	No
PSMG1		1	1	216	0.5%	No
HS3ST3A1		2	2	216	0.9%	No
MFN1		3	3	507	0.6%	No
RFXANK		2	2	687	0.3%	No
HS3ST2		3	3	823	0.4%	No
TMEM53		3	3	811	0.4%	No
GPATCH2L		5	5	273	1.8%	No
ADAMTS9		20	20	1676	1.2%	No
SEPTIN7P2		1	1	507	0.2%	No
NR1H4		2	2	746	0.3%	No
PCDHGB4		11	11	1454	0.8%	No
NUP153		17	17	1584	1.1%	No
ZRSR2P1		11	9	1216	0.7%	No
NR1I3		4	4	1152	0.3%	No
AKR1C3		3	3	729	0.4%	No
NR1D2		5	4	823	0.5%	No
KCNK5		5	5	845	0.6%	No
UBA52		2	1	122	0.8%	No
DCHS1		31	26	1554	1.7%	No
CCS		5	5	1010	0.5%	No
UBB		2	2	312	0.6%	No
PTCH2		10	8	761	1.1%	No
PEX26		1	1	507	0.2%	No
APOC1		2	2	338	0.6%	No
NBPF1		10	10	1048	1.0%	No
RNASEH2B		1	1	180	0.6%	Yes
AQP8		1	1	190	0.5%	No
PAOX		2	2	629	0.3%	No
PPP4R3A		8	8	1432	0.6%	No
NUDT8		3	3	868	0.3%	No
GALNT14		8	7	585	1.2%	No
APOC3		2	2	122	1.6%	No
IWS1		14	14	1454	1.0%	No
UNC93A		6	6	910	0.7%	No
SNRNP25		1	1	216	0.5%	No
APOC4		1	1	122	0.8%	No
APOD		1	1	100	1.0%	No
NDNF		6	6	729	0.8%	No
SLC30A6		2	2	216	0.9%	No
SOX18		1	1	122	0.8%	No
DPM3		8	8	814	1.0%	No
ARMT1		2	2	507	0.4%	No
MED12		70	62	2504	2.5%	Yes
OGFRL1		4	4	888	0.5%	No
TYROBP		1	1	122	0.8%	No
OASL		7	7	1142	0.6%	No
MED13		20	17	1434	1.2%	No
TNFAIP8L2		3	3	845	0.4%	No
U2AF1		4	4	995	0.4%	Yes
OCEL1		1	1	190	0.5%	No
TNFSF15		2	2	281	0.7%	No
RNASET2		3	2	338	0.6%	No
TYRP1		9	9	1432	0.6%	No
LIMS2		7	7	1238	0.6%	No
SH3TC2		12	12	1272	0.9%	No
THRAP3		7	7	1085	0.6%	No
SSNA1		1	1	507	0.2%	No
AOC3		4	4	787	0.5%	No
VSTM4		6	6	1116	0.5%	No
SOCS1		2	2	805	0.2%	Yes
FGFBP1		2	2	629	0.3%	No
DOP1B		22	19	1554	1.2%	No
NUMB		5	5	1158	0.4%	No
UBE2B		2	2	312	0.6%	No
RCE1		3	3	506	0.6%	No
UBE2D2		5	5	1116	0.4%	No
HNRNPDL		3	3	694	0.4%	No
THOC1		6	6	1215	0.5%	No
